GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model,Task,71,50,5,1,26,18,13,9,10,9
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model,User,46,65,4,4,15,22,11,11,8,10
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model.enums,Status,29,32,4,0,5,7,4,2,2,2
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model.enums,Nivel,4,51,1,3,1,10,1,5,0,4
backend-java-spring-test,com.felipe_dias.backend_java_spring_test,BackendJavaSpringTestApplication,5,3,0,0,2,1,1,1,1,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Service.impl,TokenService,48,3,0,0,17,1,3,1,3,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Service.impl,UserServiceImp,22,121,8,14,3,26,7,11,1,6
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Service.impl,TaskServiceImp,216,60,30,8,51,14,28,4,9,4
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Service.impl,AuthenticationService,5,3,0,0,1,1,1,1,1,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.config,SecurityConfig,0,130,0,0,0,23,0,8,0,8
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.config,IdChecker,22,3,4,0,3,1,3,1,1,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.config.filter,SecurityFilter,45,3,4,0,12,1,4,1,2,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Controller,TaskController,85,3,2,0,17,1,7,1,6,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Controller,UserController,58,3,0,0,12,1,5,1,5,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Controller,AuthenticationController,49,3,0,0,10,1,2,1,2,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model.dto,AuthenticationDTO,9,0,0,0,1,0,1,0,1,0
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model.dto,UserDTO,18,21,0,0,9,7,5,3,5,3
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model.dto,LoginResponseDTO,6,0,0,0,1,0,1,0,1,0
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.model.dto,TaskDTO,41,27,0,0,18,8,12,1,12,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Controller.Exceptions,GlobalExceptionHandler,68,3,0,0,21,1,3,1,3,1
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Controller.Exceptions,StandardError,53,0,0,0,22,0,11,0,11,0
backend-java-spring-test,com.felipe_dias.backend_java_spring_test.Controller.Exceptions,ResourceNotFoundException,0,5,0,0,0,2,0,1,0,1
